rank,reward,genes
1,4.533015344140602,ADIPOQ;AL391421.1;C1QL2;CD300LG;CSF3;FMO2;FRMD1;HAPLN1;HSD17B13;IBSP;IGKV2D-24;LEP;LINC01614;LINCADL;SELP
2,4.370956371351635,ATP1A2;CYP4F23P;FP325317.1;IGHV3-11;IL33;LINC01614;MASP1;MMP13;PCK1;PCOLCE2;PLIN4;SCARA5;SFRP5;TMEM132C;TNFRSF17
3,4.297154037631605,AC084759.3;CCL13;FP325317.1;H1-3;HGD;LINC01614;LINC02660;MMP13;MPPED1;NR0B1;PCK1;PLIN4;SCARA5;TIMP4;TMEM132C
4,4.218290150197916,AQP7;ATP1A2;CYP4F23P;FP325317.1;GLYATL1;IL33;LINC02660;MAGEA1;MMP13;PLIN4;PRSS12;SCARA5;SFRP5;TIMP4;TMEM132C
5,4.185465753375865,ACTG2;C4BPA;CA4;CEACAM5;CSF3;IGLV1-47;LGR6;LINC01819;MMP13;PLCXD3;RNF186;TNNT1;TRARG1;TRHDE;TRHDE-AS1
6,4.17279218049117,AKR1C2;ATP1A2;CA3;CALML3;FP325317.1;IGHV3-11;IRX1;LINC01614;MMP13;PLIN4;RNU6-813P;SCARA5;SOSTDC1;TMEM132C;TMEM145
7,4.171918792416476,ATP1A2;CDH19;CYP4F23P;FP325317.1;IGHV3-11;MASP1;MMP10;MMP13;NR0B1;PIK3C2G;PLIN4;SCARA5;SIM2;SLC6A2;TMEM132C
8,4.163487107043376,CAPN13;CD300LG;FABP7;FGF10;IBSP;ITPRID1;LEP;LINC01705;MS4A15;PLCXD3;PLIN1;PTPRQ;SLC27A2;TNNT1;WT1
9,4.149807623268548,AC123912.4;C10orf90;CLDN6;COL11A1;CYP2T1P;DPP6;FGF10;IBSP;LEP;LGALS12;LINC01705;LINCADL;MMP13;MSLN;PPP1R1A
10,4.138337994698232,AL079343.1;AL596442.3;AMPD1;CA3;CA4;CD300LG;COL11A1;FMO2;GAL3ST2;INA;LINC01198;LINCADL;MMP13;MS4A8;TRHDE-AS1
11,4.082117306295848,AC073508.1;ATP1A2;CLDN19;FP325317.1;H1-3;HMGCS2;IGHV3-11;INSYN2B;LINC01614;MASP1;MMP13;MUCL1;MYBPC1;PCOLCE2;TMEM132C
12,4.080168642286659,AC083906.3;AC093575.1;CAPSL;CD300LG;CNTNAP3;CPA1;GLRA3;HEPACAM;LEP;LHX1;LINC01705;SIRLNT;SLC19A3;TNNT1;TSLP
13,4.073048679977672,AFP;AKR1C2;ATP1A2;FP325317.1;HGD;IGHV3-11;IL33;KLK13;LINC01614;LINC02660;MASP1;PCK1;PCOLCE2;PLIN4;TIMP4
14,4.059594398579337,AKR1C2;AQP7;CA3;CLDN19;CYP4F23P;FP325317.1;HMGCS2;IGHV3-11;LINC01614;LINC02660;MAGEA1;PCOLCE2;PLIN4;SFRP5;TMEM132C
15,4.049826690001747,ANKRD18A;AQP7;ATP1A2;CYP4F23P;FP325317.1;IGHV3-11;IL33;KLK13;LINC01614;LINC02660;MMP13;PCK1;PLIN4;TMEM132C;VSTM2A-OT1
16,4.049140856258782,ADH1A;AL121956.7;AQP7P1;CA3;CD300LG;CPA1;FDCSP;FMO2;GLRA3;LEP;LINC01436;LINC02587;PTPRQ;PTX3;TRDN
17,4.013793948121194,ATP1A2;FP325317.1;H1-3;HMGCS2;IGHV3-11;IL33;LINC01614;LINC02660;MAGEA1;MKNK2P1;PLIN4;SCARA5;SOSTDC1;TIMP4;TMEM132C
18,3.9987330493963453,AC084759.3;ATP1A2;CLDN19;CYP4F23P;DMBT1;FAM181B;IL33;LINC01614;MAGEA1;MASP1;PCOLCE2;PLIN4;SCARA5;SFRP5;TMEM132C
19,3.9968196267304967,AC097713.1;ADGRD2;ADH1A;AL033384.1;AL133370.1;ALKAL2;CHODL;CSN1S1;DPP6;FABP7;GLYAT;HMGCS2;IGFL3;SLC6A2;TRARG1
20,3.9914548973392328,AC073508.1;AC084759.3;DMBT1;FP325317.1;GUCY1B2;LGR6;LINC01614;MMP10;PCK1;PCOLCE2;PLIN4;RNU6-813P;SCARA5;TIMP4;TMEM132C
21,3.98109006658844,AC084759.3;ATP1A2;CYP4F23P;H1-3;IL33;LGR6;LINC02660;MASP1;MMP13;MUCL1;PLIN4;PRSS12;SCARA5;TIMP4;TRIM55
22,3.97833797721505,ATP1A2;H1-3;IL33;INSM1;LINC01614;LINC02660;MAPT-IT1;PCK1;PCOLCE2;PLIN4;RNU6-813P;SOSTDC1;TIMP4;TMEM132C;TMEM145
23,3.9606265084053356,AC073508.1;AKR1C2;ATP1A2;CLSTN2;FP325317.1;GRIA4;HMGCS2;IL33;MYBPC1;PCOLCE2;PLIN4;PPP1R1A;SCARA5;SFRP5;SOSTDC1
24,3.941076661028541,AC044784.1;AC073508.1;ATP1A2;CALML3;CDH19;CLDN19;CLSTN2;FP325317.1;GPR12;IGHV3-11;LINC01614;LINC02660;PLIN4;SCARA5;TMEM132C
25,3.930457803646183,APOD;ATP1A2;CA3;CALML3;CLDN19;CYP4F23P;FP325317.1;IGHV3-11;IL33;INSM1;PCK1;PLIN4;SCARA5;SFRP5;TMEM132C
26,3.921035571159689,AC084759.3;CYP4F23P;DSCAM-AS1;FP325317.1;H1-3;HGD;IGKV1-12;LINC01614;LINC02660;MMP10;MMP13;PCOLCE2;PLIN4;SOSTDC1;TMEM132C
27,3.906640320166445,AC011246.1;AC073508.1;AKR1C2;APOB;ATP1A2;CAMP;FP325317.1;IGHV1-58;INSYN2B;LINC01614;MYBPC1;SCARA5;SLC19A3;TH;TMEM132C
28,3.9046952227456533,AC084759.3;AKR1C2;FP325317.1;H1-3;HGD;IL33;KLK13;LINC01614;LINC02660;MAGEA1;MASP1;PLIN4;SOSTDC1;TIMP4;TMEM132C
29,3.9040971016353505,AC023421.1;AC084759.3;ATP1A2;FP325317.1;H1-3;HGD;LINC01614;LINC02660;MAGEA1;MMP13;PCOLCE2;PLIN4;RNU6-813P;SOSTDC1;TIMP4
30,3.8952554307683673,AC084759.3;AKR1C2;ATP1A2;CA3;FP325317.1;HGD;LINC02660;MAGEA1;MASP1;MMP13;PCOLCE2;PRSS12;RNU6-813P;SIM2;TIMP4
31,3.888175958226488,AC073508.1;AKR1C2;ATP1A2;DSCAM-AS1;KLK13;LINC01614;LINC02660;MOGAT2;PCOLCE2;PLIN4;SCARA5;SCGN;SOSTDC1;TIMP4;UGT8
32,3.8802721645563856,AKR1C2;AL133387.1;APOB;ATP1A2;FP325317.1;GRIA4;IGHV3-11;IGLV3-16;MASP1;PCOLCE2;PLIN4;SCARA5;SCGN;SOSTDC1;UGT8
33,3.8744754492215354,AL161945.1;ARC;CLDN6;CMTM5;DACT2;FABP4;GAL3ST2;HSD11B1-AS1;INA;IRX6;LINCADL;PTPRQ;RERGL;ROCR;TRHDE-AS1
34,3.874420619922658,AL079343.1;C1QL2;CHRDL1;ERICH3;GRIA4;GSTA1;HTR3A;LEP;LINC01697;LINC02489;LINCADL;PLCXD3;PPP1R1A;SLC19A3;WT1
35,3.8739325909823696,AC016995.1;ATP1A2;CDH19;CLDN19;CYP4Z1;IGHV3-11;KLK13;LINC01614;LINC02660;MMP10;MMP13;PCK1;PLIN4;RPL6P4;TMEM132C
36,3.8738787490332376,AKR1C2;ATP1A2;CA3;CYP4F23P;FP325317.1;IGHV3-11;IL33;LINC01614;LINC02660;MASP1;PLIN4;PRR18;SFRP5;TMEM132C;ZNF676
37,3.8705848652711725,ATP1A2;C1QL2;CD300LG;CPA1;FGF10;GSTA1;IGKV2D-24;LALBA;LGR6;LINCADL;PLCXD3;PPP1R1A;RFX6;ROPN1B;TSLP
38,3.868898298416458,AC084759.3;ANKRD18A;CLDN19;EREG;GLYATL1;INSM1;LINC01614;LINC02660;LRRC31;PCK1;PLIN4;SCARA5;SLC6A2;TIMP4;TMEM132C
39,3.8593305489902856,AC084759.3;CYP4F12;CYP4F23P;H1-3;HGD;IL33;LINC01614;LINC02660;MAPK4;MMP13;NR0B1;PCK1;PCOLCE2;PLIN4;TIMP4
40,3.856750394760441,ADGRD2;ADH1A;ALKAL2;CXCL9;FABP7;GLYAT;GSTA1;IGFL3;MMP3;MRGPRX3;NEUROG2;OR2S1P;SLCO1A2;TMEM215;TRARG1
41,3.8536075638363094,AL391421.1;CD300LG;CES1P1;FMO2;HIF3A;IBSP;KCNC2;LINC01705;LINC01819;LINC01842;LINC02587;LINCADL;MYBPC1;SLC27A2;WT1
42,3.8499926592257414,ATP1A2;CYP4F23P;H1-3;KRT6A;LINC01614;LINC02660;MMP10;MMP13;PCOLCE2;PLIN4;PRR18;SOSTDC1;TIMP4;TMEM132C;TMEM178B
43,3.8457592379000163,AC084759.3;ATP1A2;C2CD4A;DSCAM-AS1;FP325317.1;H1-3;HGD;LGR6;LINC01614;LINC02660;MMP10;PLIN4;SOSTDC1;TIMP4;TMEM132C
44,3.843432133589751,AC093575.1;ADIPOQ;ARMC4;C1QL2;CA4;CD300LG;CPA1;ERICH3;FRMD1;HEPACAM;LINC01671;LINCADL;PTPRQ;SLC27A2;SLC6A15
45,3.8384838180510177,AC084759.3;C2CD4A;FP325317.1;H1-3;HGD;HMGCS2;LINC01614;LINC02660;MMP10;MMP13;PLIN4;SLC13A2;SOSTDC1;TIMP4;TMEM132C
46,3.8378426439288407,ADH4;AQP7;ATP1A2;FAM181B;FP325317.1;HGD;IL33;LINC02587;MAGEA1;MASP1;PLD5;PLIN4;SFRP5;TMEM132C;TMEM145
47,3.832300375049282,ADH1C;C1QL2;CLDN6;CNTNAP3;CPA1;GLRA3;LEP;LINC01124;LINCADL;MMP13;MYBPC1;RALYL;SLC7A10;SMR3B;TSLP
48,3.8240713228643237,AC084759.3;H1-3;IGLV3-16;KBTBD12;LINC01614;LINC02660;MAGEA1;METTL11B;MMP10;MMP13;NR0B1;PCOLCE2;PLIN4;SOSTDC1;TMEM132C
49,3.8221023100167524,ADGRD2;ADH1A;AL033384.1;ALKAL2;DACT2;FABP7;GLYAT;H4C5;LINC01152;LUZP2;MMP3;NEUROG2;PTX3;TMEM215;TRARG1
50,3.8220642063724437,C2CD4A;H1-3;HGD;IGKV1-12;LINC01614;LINC02660;MAGEA1;MASP1;MMP13;PCK1;PCOLCE2;PLIN4;TIMP4;TMEM132C;TMEM145
