rank,reward,genes
1,4.78387094099215,AC002546.1;AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP
2,4.713208184658438,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP;TACR1
3,4.712348331165686,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;KY;NPY5R;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP
4,4.693717203877688,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;H2BC7;HSD17B13;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP
5,4.684674091929537,AC002546.1;AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
6,4.68318859897405,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;KY;PCK1;PCOLCE2;PLIN4;SCN2A;SLC4A4;SPHKAP
7,4.585898804865049,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;IGHV1-45;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP
8,4.576411943972158,AC044784.1;ANGPTL7;C7;CA3;CD1A;CD36;ECRG4;GLYAT;HSD17B13;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP
9,4.556170179615231,AC044784.1;ANGPTL7;C7;CA3;CD36;DNER;ECRG4;GLYAT;HSD17B13;KY;PCK1;PLIN4;SLC4A4;SPHKAP;TACR1
10,4.550852906695001,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;IGKV3D-20;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP
11,4.542388721523786,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;MAGEA12;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP;TACR1
12,4.512146220108639,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;LINC01811;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP;TACR1
13,4.508094594728706,AC044784.1;ANGPTL7;C7;CA3;CD36;ECRG4;GLYAT;HSD17B13;LRRC26;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP;TACR1
14,4.496225215592735,AC044784.1;ANGPTL7;C7;CA3;CMTM5;DNER;ECRG4;GLYAT;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP;TACR1
15,4.493100807132069,AC044784.1;ANGPTL7;C7;CA3;CMTM5;DNER;ECRG4;GLYAT;HSD17B13;KY;PCK1;PLIN4;SLC4A4;SPHKAP;TACR1
16,4.476469758317605,AC044784.1;ANGPTL7;C7;CA3;CD36;CMTM5;DNER;ECRG4;GLYAT;KY;PCK1;PLIN4;SLC4A4;SPHKAP;TACR1
17,4.469700324214627,AC044784.1;ANGPTL7;C7;CA3;CD36;CMTM5;DNER;ECRG4;GLYAT;KY;PCK1;PLIN4;PLP1;SLC4A4;SPHKAP
18,4.467200200652944,AC044784.1;ANGPTL7;C7;CA3;CD36;CMTM5;DNER;ECRG4;GLYAT;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
19,4.378635635137062,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;INAVA;KY;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4;SPHKAP
20,4.339622623469911,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HS3ST4;INAVA;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
21,4.317213895683765,AC044784.1;ANGPTL7;CA3;CD36;CMTM5;DNER;ECRG4;GLYAT;INAVA;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
22,4.2965962512216205,AC044784.1;ANGPTL7;CA3;CD36;CMTM5;DNER;ECRG4;GLYAT;INAVA;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
23,4.282559499870802,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HAPLN1;INAVA;KY;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4
24,4.282437918273652,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;INAVA;LINC02587;PCK1;PCOLCE2;PLAC1;PLIN4;SLC4A4;TACR1
25,4.279438786074449,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;INAVA;KY;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
26,4.259683328799318,AC044784.1;ANGPTL7;CA3;CD36;CMTM5;DNER;ECRG4;GLYAT;INAVA;KY;LINC02587;PCK1;PLIN4;SLC4A4;TACR1
27,4.250676964948425,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;INAVA;LINC02587;MYT1;PCK1;PCOLCE2;PLIN4;SLC4A4;SOX10
28,4.250162775357297,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HAPLN1;INAVA;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
29,4.229545130895152,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HAPLN1;INAVA;KY;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
30,4.2263415251573795,AC044784.1;ANGPTL7;C7;CA3;CCDC60;CMTM5;DNER;ECRG4;GLYAT;KY;PCK1;PLIN4;SLC4A4;SPHKAP;TACR1
31,4.202015872373477,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;HAPLN1;INAVA;LINC02587;MYT1;PCK1;PCOLCE2;PLIN4;SLC4A4
32,4.198895158577124,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;INAVA;LINC02587;MYT1;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1
33,4.18060178640363,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;IL20;INAVA;LINC02587;PCK1;PCOLCE2;PLAC1;PLIN4;SLC4A4
34,4.177602654204427,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;IL20;INAVA;KY;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4
35,4.160503836146401,AC044784.1;ANGPTL7;CA3;CMTM5;DMBT1;DNER;ECRG4;GLYAT;INAVA;KY;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4
36,4.14958829902681,AC044784.1;ANGPTL7;CA3;CMTM5;DNER;ECRG4;GLYAT;INAVA;LINC02587;PCK1;PCOLCE2;PLIN4;SLC4A4;TACR1;TCN1
