rank,reward,genes
1,4.10927607155574,AC008663.1;ACVR1C;ADIPOQ;ARC;CA3;CD300LG;DMRTA1;FMO2;LGALS12;LINCADL;MFSD6L;MISP;PLIN1;PTPRQ;TRHDE
2,4.04654342625537,ACVR1C;ADIPOQ;ARC;CA3;CD300LG;FGF10-AS1;FMO2;LGALS12;LINC01085;LINCADL;MFSD6L;MISP;MKX;MMP13;TRHDE
3,3.95231971193614,AC008663.1;ACVR1C;ADIPOQ;ARC;CA3;CD300LG;DMRTA1;FMO2;IGHA1;LGALS12;LINC01614;LINCADL;MFSD6L;MISP;TRHDE
4,3.91499654308912,ABCA12;ACVR1C;ADIPOQ;ARC;CA3;CD300LG;CNNM1;DEGS2;FMO2;HAPLN1;LINCADL;MFSD6L;MISP;PLIN1;TRHDE
5,3.83732757928682,AC008663.1;ACVR1C;ADIPOQ;ARC;CA3;CD300LG;FMO2;IGHA1;LINC01436;LINCADL;MFSD6L;MISP;PLIN1;PPP1R1A;TRHDE
6,3.79933503857386,ACVR1C;ADIPOQ;AGR2;ARC;CA3;FMO2;IGHA1;IGHV1-3;LGALS12;LINCADL;MISP;PCOLCE2;PTPRQ;SLC34A2;TRHDE
7,3.75766577888641,AC008663.1;ACVR1C;ADIPOQ;ARC;CA3;DMRTA1;FMO2;GSTA1;IGHA1;LGALS12;LINCADL;MFSD6L;MISP;PLIN1;TRHDE
8,3.74423302946315,ACVR1C;ADIPOQ;ARC;CA3;DMRTA1;FMO2;HEPACAM;IGHA1;LINC01436;LINCADL;MFSD6L;MISP;PCDH11X;PLIN1;TRHDE
9,3.74411646793141,AC008663.1;ACVR1C;ADIPOQ;AL031777.2;ARC;CA3;DMRTA1;FMO2;IGHA1;LGALS12;LINCADL;MFSD6L;MISP;PLIN1;TRHDE
10,3.73652542956212,AC008663.1;AC084759.3;ACVR1C;ADIPOQ;ARC;IGHA1;LGALS12;LINC01436;LINCADL;MFSD6L;MISP;MMP13;PCDH11X;PLIN1;TRHDE
