rank,reward,genes
1,5.090044730462407,ATP1A2;CA3;FP325317.1;GRIA4;HOXC13;IL33;LINC01614;METTL11B;MMP11;MMP13;PLIN4;SCARA5;SLC19A3;SLC24A2;TMEM132C
2,4.975934948825674,ALX4;ANGPTL7;ARHGAP36;CD300LG;CPA1;DACT2;FABP4;HAPLN1;LEP;LINC00648;LINCADL;LRRC3B;MISP;MMP13;TNNT1
3,4.950029860436921,ADIPOQ;ATP1A2;C10orf90;CA4;CD300LG;HEPACAM;LHX1-DT;LINC01705;LINCADL;LRRC3B;MMP13;MYT1;OVCH2;PPP1R1A;TSLP
4,4.916818109327804,ATP1A2;CA3;CLDN19;H1-3;HOXC13;IL33;LINC01614;LINC02660;MMP11;MMP13;PLIN4;SCARA5;SLC19A3;SLC24A2;TMEM132C
5,4.789315616321015,ATP1A2;CA3;FP325317.1;H1-3;HOXC13;IL33;LINC01614;METTL11B;MMP11;MMP13;PLIN4;SCARA5;SLC19A3;SLC4A4;TMEM132C
6,4.78614588794006,APOD;ATP1A2;CA3;FP325317.1;HOXC13;IL33;KRT77;LINC01614;MMP13;PCK1;PLIN4;SCARA5;SLC24A2;TIMP4;TMEM132C
7,4.763006012873533,AC097713.1;ADGRD2;B3GAT1-DT;CD36;CSN1S1;CST2;DPP6;GLYAT;H2BU1;MYOC;PI15;PI16;SLC6A2;TRARG1;WIF1
8,4.752938608428403,AC097713.1;ADGRD2;ALKAL2;B3GAT1-DT;CD36;CSN1S1;DACT2;GLYAT;IGFL3;KY;MYOC;NRG1;PI16;TRARG1;WIF1
9,4.7230009936277035,APOD;ATP1A2;CA3;FOSB;FP325317.1;IL33;LINC01614;MMP11;MMP13;PCOLCE2;PLIN4;SFRP5;SLC19A3;SLC4A4;TMEM132C
10,4.7149237419790815,ABCA8;ATP1A2;CLGN;FP325317.1;HOXC13;IL33;LINC01614;METTL11B;MMP11;MMP13;PLIN4;SCARA5;SLC19A3;SLC24A2;SLC4A4
