rank,reward,sample_count,genes
1,2.69430365330914,1,gene_0031;gene_0063;gene_0074;gene_0084;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
2,2.66951218464939,1,gene_0002;gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0106;gene_0107;gene_0109;gene_0131;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
3,2.6343921995931,1,gene_0063;gene_0074;gene_0077;gene_0084;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
4,2.61688870831901,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0084;gene_0097;gene_0106;gene_0107;gene_0109;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
5,2.6086596860286,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0084;gene_0106;gene_0109;gene_0131;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
6,2.60514297992031,1,gene_0031;gene_0037;gene_0063;gene_0084;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0173;gene_0183;gene_0194
7,2.60169832524991,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0106;gene_0107;gene_0109;gene_0111;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
8,2.5986289448436897,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0084;gene_0106;gene_0107;gene_0109;gene_0111;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
9,2.58154779388162,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0084;gene_0097;gene_0106;gene_0107;gene_0109;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
10,2.57638815199742,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0106;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
11,2.5656468037363,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0097;gene_0106;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
12,2.56201144485944,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0084;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
13,2.54213065549005,1,gene_0019;gene_0031;gene_0037;gene_0063;gene_0074;gene_0084;gene_0107;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
14,2.5412765221172697,1,gene_0036;gene_0063;gene_0077;gene_0084;gene_0106;gene_0107;gene_0109;gene_0111;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
15,2.54121929316632,1,gene_0031;gene_0037;gene_0063;gene_0077;gene_0084;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
16,2.53412535884089,1,gene_0002;gene_0031;gene_0037;gene_0063;gene_0074;gene_0106;gene_0107;gene_0109;gene_0111;gene_0131;gene_0146;gene_0147;gene_0163;gene_0183;gene_0194
17,2.53107973187273,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0097;gene_0106;gene_0107;gene_0109;gene_0111;gene_0131;gene_0146;gene_0147;gene_0163;gene_0183;gene_0194
18,2.53100080728347,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0097;gene_0106;gene_0107;gene_0109;gene_0111;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
19,2.52844466562762,1,gene_0002;gene_0031;gene_0037;gene_0063;gene_0077;gene_0084;gene_0097;gene_0106;gene_0107;gene_0109;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
20,2.51385852508699,1,gene_0031;gene_0074;gene_0077;gene_0106;gene_0107;gene_0109;gene_0111;gene_0131;gene_0147;gene_0151;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
21,2.4982992091222798,1,gene_0019;gene_0037;gene_0063;gene_0074;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
22,2.49787242639638,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0084;gene_0097;gene_0106;gene_0109;gene_0111;gene_0131;gene_0147;gene_0163;gene_0183;gene_0194
23,2.48439051704707,1,gene_0037;gene_0063;gene_0074;gene_0077;gene_0084;gene_0097;gene_0106;gene_0109;gene_0111;gene_0131;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
24,2.4843842175043997,1,gene_0002;gene_0031;gene_0036;gene_0037;gene_0063;gene_0074;gene_0106;gene_0107;gene_0109;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
25,2.4838245385764197,1,gene_0037;gene_0063;gene_0074;gene_0077;gene_0084;gene_0106;gene_0107;gene_0109;gene_0111;gene_0131;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
26,2.4825240199162,1,gene_0031;gene_0037;gene_0063;gene_0084;gene_0097;gene_0106;gene_0107;gene_0109;gene_0111;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
27,2.4727465403278197,1,gene_0031;gene_0036;gene_0037;gene_0063;gene_0074;gene_0077;gene_0084;gene_0097;gene_0106;gene_0109;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
28,2.47216666212432,1,gene_0002;gene_0037;gene_0063;gene_0084;gene_0106;gene_0107;gene_0109;gene_0111;gene_0131;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
29,2.45918216507499,1,gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0097;gene_0106;gene_0109;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
30,2.4552595390209997,1,gene_0019;gene_0031;gene_0054;gene_0063;gene_0077;gene_0106;gene_0107;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
31,2.4535177746669197,1,gene_0031;gene_0036;gene_0037;gene_0063;gene_0074;gene_0097;gene_0106;gene_0107;gene_0109;gene_0131;gene_0147;gene_0153;gene_0173;gene_0183;gene_0194
32,2.44672183407625,1,gene_0037;gene_0063;gene_0074;gene_0084;gene_0097;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0183;gene_0194;gene_0196
33,2.4465467986159197,1,gene_0031;gene_0037;gene_0063;gene_0084;gene_0097;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0153;gene_0163;gene_0180;gene_0183;gene_0194
34,2.44255676459207,1,gene_0002;gene_0031;gene_0037;gene_0063;gene_0097;gene_0106;gene_0107;gene_0109;gene_0111;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
35,2.4410939222220898,1,gene_0002;gene_0031;gene_0074;gene_0097;gene_0106;gene_0107;gene_0109;gene_0111;gene_0131;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
36,2.44053017744786,1,gene_0002;gene_0031;gene_0036;gene_0037;gene_0063;gene_0074;gene_0084;gene_0106;gene_0109;gene_0131;gene_0146;gene_0147;gene_0163;gene_0183;gene_0194
37,2.42954705920838,1,gene_0037;gene_0063;gene_0074;gene_0084;gene_0106;gene_0109;gene_0111;gene_0131;gene_0147;gene_0151;gene_0153;gene_0163;gene_0183;gene_0194;gene_0196
38,2.4255587039824698,1,gene_0031;gene_0044;gene_0063;gene_0077;gene_0084;gene_0097;gene_0106;gene_0107;gene_0109;gene_0131;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
39,2.42500488159969,1,gene_0029;gene_0031;gene_0037;gene_0063;gene_0074;gene_0106;gene_0107;gene_0109;gene_0131;gene_0146;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
40,2.42025218051485,1,gene_0002;gene_0019;gene_0031;gene_0037;gene_0063;gene_0074;gene_0077;gene_0106;gene_0109;gene_0111;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
41,2.41896830429185,1,gene_0002;gene_0031;gene_0063;gene_0074;gene_0084;gene_0106;gene_0107;gene_0109;gene_0115;gene_0131;gene_0147;gene_0153;gene_0163;gene_0183;gene_0194
